name,n1,n2,n3,R1,R2,Thickness
CAF2,1.43871,1.43403,1.43109,0.0,-69.31,7.0
CAF2,1.43871,1.43403,1.43109,0.0,-46.21,4.0
CAF2,1.43871,1.43403,1.43109,0.0,-46.21,9.0
CAF2,1.43871,1.43403,1.43109,46.21,-0.0,4.0
CAF2,1.43871,1.43403,1.43109,46.21,-0.0,9.0
CAF2,1.43871,1.43403,1.43109,69.31,0.0,7.0
C79-80,1.46557,1.45874,1.45424,-114.61,0.0,2.5
C79-80,1.46557,1.45874,1.45424,-91.69,-0.0,2.5
C79-80,1.46557,1.45874,1.45424,-0.0,-114.62,7.0
C79-80,1.46557,1.45874,1.45424,-0.0,-91.69,7.0
C79-80,1.46557,1.45874,1.45424,0.0,-91.68,2.88
C79-80,1.46557,1.45874,1.45424,0.0,-68.77,5.0
C79-80,1.46557,1.45874,1.45424,-0.0,-68.77,7.0
C79-80,1.46557,1.45874,1.45424,0.0,-57.3,3.42
C79-80,1.46557,1.45874,1.45424,0.0,-55.02,5.0
C79-80,1.46557,1.45874,1.45424,0.0,-45.85,3.79
C79-80,1.46557,1.45874,1.45424,0.0,-45.85,9.0
C79-80,1.46557,1.45874,1.45424,-0.0,-27.51,3.5
C79-80,1.46557,1.45874,1.45424,0.0,-27.51,6.0
C79-80,1.46557,1.45874,1.45424,0.0,-22.92,5.84
C79-80,1.46557,1.45874,1.45424,-0.0,-16.05,5.0
C79-80,1.46557,1.45874,1.45424,-0.0,91.69,2.5
C79-80,1.46557,1.45874,1.45424,-0.0,114.61,2.5
C79-80,1.46557,1.45874,1.45424,16.05,-0.0,5.0
C79-80,1.46557,1.45874,1.45424,22.38,-98.15,2.4
C79-80,1.46557,1.45874,1.45424,22.92,-0.0,5.84
C79-80,1.46557,1.45874,1.45424,27.51,-0.0,3.5
C79-80,1.46557,1.45874,1.45424,27.51,0.0,6.0
C79-80,1.46557,1.45874,1.45424,45.85,-0.0,3.79
C79-80,1.46557,1.45874,1.45424,45.85,-0.0,9.0
C79-80,1.46557,1.45874,1.45424,55.02,-0.0,5.0
C79-80,1.46557,1.45874,1.45424,55.76,-253.56,3.0
C79-80,1.46557,1.45874,1.45424,57.3,-0.0,3.42
C79-80,1.46557,1.45874,1.45424,68.77,-0.0,5.0
C79-80,1.46557,1.45874,1.45424,68.77,-0.0,7.0
C79-80,1.46557,1.45874,1.45424,90.38,-90.38,8.25
C79-80,1.46557,1.45874,1.45424,91.09,-91.09,3.78
C79-80,1.46557,1.45874,1.45424,91.68,-0.0,2.88
C79-80,1.46557,1.45874,1.45424,91.69,0.0,7.0
C79-80,1.46557,1.45874,1.45424,98.15,-22.38,2.4
C79-80,1.46557,1.45874,1.45424,114.08,-114.08,3.42
C79-80,1.46557,1.45874,1.45424,114.62,0.0,7.0
C79-80,1.46557,1.45874,1.45424,136.62,-136.62,5.81
C79-80,1.46557,1.45874,1.45424,182.65,-182.65,4.67
C79-80,1.46557,1.45874,1.45424,228.73,-228.73,3.21
C79-80,1.46557,1.45874,1.45424,253.56,-55.76,3.0
N-BK7,1.52532,1.51712,1.51184,-51.68,0.0,5.0
N-BK7,1.52532,1.51712,1.51184,-0.0,-258.4,5.0
N-BK7,1.52532,1.51712,1.51184,-0.0,-206.72,5.0
N-BK7,1.52532,1.51712,1.51184,-0.0,-155.04,5.0
N-BK7,1.52532,1.51712,1.51184,-0.0,-129.21,4.94
N-BK7,1.52532,1.51712,1.51184,0.0,-129.2,3.0
N-BK7,1.52532,1.51712,1.51184,-0.0,-129.2,8.0
N-BK7,1.52532,1.51712,1.51184,0.0,-103.36,3.2
N-BK7,1.52532,1.51712,1.51184,-0.0,-103.36,5.0
N-BK7,1.52532,1.51712,1.51184,-0.0,-103.36,5.07
N-BK7,1.52532,1.51712,1.51184,0.0,-103.36,8.74
N-BK7,1.52532,1.51712,1.51184,0.0,-90.44,9.0
N-BK7,1.52532,1.51712,1.51184,0.0,-77.52,9.0
N-BK7,1.52532,1.51712,1.51184,-0.0,-77.52,11.45
N-BK7,1.52532,1.51712,1.51184,0.0,-64.62,3.5
N-BK7,1.52532,1.51712,1.51184,0.0,-64.6,3.0
N-BK7,1.52532,1.51712,1.51184,0.0,-64.6,10.0
N-BK7,1.52532,1.51712,1.51184,0.0,-62.02,6.0
N-BK7,1.52532,1.51712,1.51184,0.0,-51.68,3.0
N-BK7,1.52532,1.51712,1.51184,0.0,-51.68,4.3
N-BK7,1.52532,1.51712,1.51184,-0.0,-51.68,4.5
N-BK7,1.52532,1.51712,1.51184,0.0,-51.68,6.0
N-BK7,1.52532,1.51712,1.51184,0.0,-51.68,7.0
N-BK7,1.52532,1.51712,1.51184,0.0,-51.68,10.0
N-BK7,1.52532,1.51712,1.51184,0.0,-43.93,4.3
N-BK7,1.52532,1.51712,1.51184,0.0,-39.38,11.0
N-BK7,1.52532,1.51712,1.51184,0.0,-31.11,2.05
N-BK7,1.52532,1.51712,1.51184,0.0,-31.01,4.5
N-BK7,1.52532,1.51712,1.51184,-0.0,-31.01,6.0
N-BK7,1.52532,1.51712,1.51184,0.0,-20.67,2.2
N-BK7,1.52532,1.51712,1.51184,0.0,-20.67,2.3
N-BK7,1.52532,1.51712,1.51184,0.0,51.68,5.0
N-BK7,1.52532,1.51712,1.51184,20.67,0.0,2.2
N-BK7,1.52532,1.51712,1.51184,20.67,-0.0,2.3
N-BK7,1.52532,1.51712,1.51184,31.01,-0.0,4.5
N-BK7,1.52532,1.51712,1.51184,31.01,0.0,6.0
N-BK7,1.52532,1.51712,1.51184,31.11,-0.0,2.05
N-BK7,1.52532,1.51712,1.51184,39.38,0.0,11.0
N-BK7,1.52532,1.51712,1.51184,40.42,-40.42,5.3
N-BK7,1.52532,1.51712,1.51184,43.93,0.0,4.3
N-BK7,1.52532,1.51712,1.51184,51.68,-0.0,3.0
N-BK7,1.52532,1.51712,1.51184,51.68,-0.0,4.3
N-BK7,1.52532,1.51712,1.51184,51.68,0.0,4.5
N-BK7,1.52532,1.51712,1.51184,51.68,-0.0,6.0
N-BK7,1.52532,1.51712,1.51184,51.68,-0.0,7.0
N-BK7,1.52532,1.51712,1.51184,51.68,-0.0,10.0
N-BK7,1.52532,1.51712,1.51184,61.15,-61.15,5.0
N-BK7,1.52532,1.51712,1.51184,62.02,-0.0,6.0
N-BK7,1.52532,1.51712,1.51184,64.6,-0.0,3.0
N-BK7,1.52532,1.51712,1.51184,64.6,-0.0,10.0
N-BK7,1.52532,1.51712,1.51184,64.62,-0.0,3.5
N-BK7,1.52532,1.51712,1.51184,71.08,-71.08,7.5
N-BK7,1.52532,1.51712,1.51184,77.52,0.0,9.0
N-BK7,1.52532,1.51712,1.51184,77.52,0.0,11.45
N-BK7,1.52532,1.51712,1.51184,90.44,0.0,9.0
N-BK7,1.52532,1.51712,1.51184,103.36,-0.0,3.2
N-BK7,1.52532,1.51712,1.51184,103.36,0.0,5.0
N-BK7,1.52532,1.51712,1.51184,103.36,0.0,5.07
N-BK7,1.52532,1.51712,1.51184,103.36,-0.0,8.74
N-BK7,1.52532,1.51712,1.51184,122.83,-122.83,7.0
N-BK7,1.52532,1.51712,1.51184,123.17,-123.17,5.0
N-BK7,1.52532,1.51712,1.51184,128.65,-128.65,3.5
N-BK7,1.52532,1.51712,1.51184,129.2,0.0,3.0
N-BK7,1.52532,1.51712,1.51184,129.2,0.0,8.0
N-BK7,1.52532,1.51712,1.51184,129.21,0.0,4.94
N-BK7,1.52532,1.51712,1.51184,153.49,-153.49,9.0
N-BK7,1.52532,1.51712,1.51184,155.04,-0.0,5.0
N-BK7,1.52532,1.51712,1.51184,205.35,-205.35,8.0
N-BK7,1.52532,1.51712,1.51184,205.86,-205.86,5.05
N-BK7,1.52532,1.51712,1.51184,205.865,-205.865,5.0
N-BK7,1.52532,1.51712,1.51184,206.72,-0.0,5.0
N-BK7,1.52532,1.51712,1.51184,257.57,-257.57,4.93
N-BK7,1.52532,1.51712,1.51184,258.4,-0.0,5.0
N-SF11,1.81916,1.7859,1.76783,-39.78,39.78,2.5
N-SF11,1.81916,1.7859,1.76783,-27.47,-0.0,3.5
N-SF11,1.81916,1.7859,1.76783,-11.77,-0.0,3.0
N-SF11,1.81916,1.7859,1.76783,-0.0,-31.39,8.7
N-SF11,1.81916,1.7859,1.76783,0.0,11.77,3.0
N-SF11,1.81916,1.7859,1.76783,0.0,27.47,3.5
N-SF11,1.81916,1.7859,1.76783,31.39,0.0,8.7
