1.43871,1.43403,1.43109,0.0,-69.31
1.43871,1.43403,1.43109,0.0,-46.21
1.43871,1.43403,1.43109,46.21,-0.0
1.43871,1.43403,1.43109,69.31,0.0
1.46557,1.45874,1.45424,-114.61,0.0
1.46557,1.45874,1.45424,-91.69,-0.0
1.46557,1.45874,1.45424,-0.0,-114.62
1.46557,1.45874,1.45424,-0.0,-91.69
1.46557,1.45874,1.45424,0.0,-91.68
1.46557,1.45874,1.45424,-0.0,-68.77
1.46557,1.45874,1.45424,0.0,-57.3
1.46557,1.45874,1.45424,0.0,-55.02
1.46557,1.45874,1.45424,0.0,-45.85
1.46557,1.45874,1.45424,-0.0,91.69
1.46557,1.45874,1.45424,-0.0,114.61
1.46557,1.45874,1.45424,45.85,-0.0
1.46557,1.45874,1.45424,55.02,-0.0
1.46557,1.45874,1.45424,55.76,-253.56
1.46557,1.45874,1.45424,57.3,-0.0
1.46557,1.45874,1.45424,68.77,-0.0
1.46557,1.45874,1.45424,90.38,-90.38
1.46557,1.45874,1.45424,91.09,-91.09
1.46557,1.45874,1.45424,91.68,-0.0
1.46557,1.45874,1.45424,91.69,0.0
1.46557,1.45874,1.45424,114.08,-114.08
1.46557,1.45874,1.45424,114.62,0.0
1.46557,1.45874,1.45424,136.62,-136.62
1.46557,1.45874,1.45424,182.65,-182.65
1.46557,1.45874,1.45424,253.56,-55.76
1.52532,1.51712,1.51184,-51.68,0.0
1.52532,1.51712,1.51184,-0.0,-258.4
1.52532,1.51712,1.51184,-0.0,-206.72
1.52532,1.51712,1.51184,-0.0,-155.04
1.52532,1.51712,1.51184,-0.0,-129.21
1.52532,1.51712,1.51184,-0.0,-129.2
1.52532,1.51712,1.51184,-0.0,-103.36
1.52532,1.51712,1.51184,-0.0,-90.44
1.52532,1.51712,1.51184,-0.0,-77.52
1.52532,1.51712,1.51184,0.0,-64.62
1.52532,1.51712,1.51184,0.0,-64.6
1.52532,1.51712,1.51184,0.0,-62.02
1.52532,1.51712,1.51184,0.0,-51.68
1.52532,1.51712,1.51184,-0.0,51.68
1.52532,1.51712,1.51184,51.68,-0.0
1.52532,1.51712,1.51184,62.02,-0.0
1.52532,1.51712,1.51184,64.6,-0.0
1.52532,1.51712,1.51184,64.62,-0.0
1.52532,1.51712,1.51184,77.52,-0.0
1.52532,1.51712,1.51184,90.44,0.0
1.52532,1.51712,1.51184,103.36,-0.0
1.52532,1.51712,1.51184,122.83,-122.83
1.52532,1.51712,1.51184,123.17,-123.17
1.52532,1.51712,1.51184,128.65,-128.65
1.52532,1.51712,1.51184,129.2,-0.0
1.52532,1.51712,1.51184,129.21,0.0
1.52532,1.51712,1.51184,153.49,-153.49
1.52532,1.51712,1.51184,155.04,0.0
1.52532,1.51712,1.51184,205.35,-205.35
1.52532,1.51712,1.51184,205.86,-205.86
1.52532,1.51712,1.51184,205.865,-205.865
1.52532,1.51712,1.51184,206.72,-0.0
1.52532,1.51712,1.51184,257.57,-257.57
1.52532,1.51712,1.51184,258.4,-0.0
